Date,Description
"April 17, 1989","Calvin is hiccupping.  He walks over to Hobbes to tell him.  Each time he tries to say he has hiccups, he can't finish the sentence.  Hobbes starts asking him what he has.  He asks if Calvin has a dollar, a comic book, what?  Calvin continues to try to tell Hobbes, but he keeps hiccupping.  Hobbes, with an impish smile, says he loves doing this."
"April 17, 1990","Susie comes over and asks if Calvin signed up to play baseball at recess.  She says he must be the only one who didn't.  The others are playing in the back fields.  Calvin is the only boy on a playground full of girls.  Susie says it looks that way.  She asks if Calvin wants to teeter-totter with her.  Calvin, shocked, says he's in Cootie Central and hasn't had his shots.  Susie tells him stupidity produces antibodies.  Calvin pulls his shirt over his mouth asking for an air filter."
"April 17, 1991","Mom is shocked to see Calvin hitting rocks in the house.  The lamp is broken, and Calvin is holding a bat. She angrily yells what on earth would make him do something like that.  Calvin suggests poor genetic material.  In bed, he decides that was a bad guess."
"April 17, 1992",Calvin complains that not a single part of his horoscope came true.  He wonders what went wrong.  How could planets and stars be misread?  What kind of science is this?  Calvin wonders if tomorrow's horoscope will run a correction and apology.
"April 17, 1993","Calvin sees a mud puddle and says ""Eww"".  He pokes it with a stick, saying it's dirty and slimy.  He walks off.  He turns around saying it's a kid magnet."
"April 17, 1995","In bed, Calvin tells Mom he has a sore throat, ear ache, is seeing spots, and is dizzy.  Mom offers to call the doctor.  Calvin gets out of bed, saying it's all clearing up.  While he gets dressed, he says it's hard to hit the magic number of vague, mildly serious, but not worrisome symptoms."
"April 18, 1986","Calvin stands on a pier with a bucket in his hand.  He calls ""Here fish!"" and holds the bucket out.  Nothing happens.  Calvin figures they must know that one."
"April 18, 1987","Calvin asks Dad how people make babies.  Dad tells him most people go to Sears, buy the kit, and follow the assembly instructions.  Calvin is shocked that he came from Sears.  Dad consoles him by telling him he actually came as a blue light special from Kmart.  Almost as good and a lot cheaper.  Calvin yells.  Mom calls in from the other room, wondering what Dad is telling Calvin now."
"April 18, 1988","Calvin is waiting for the school bus.  He says he has eleven more years to go, then college, then maybe graduate school.  He'll then work until he dies.  He complains that he only gets five years to be a kid.  When he bemoans not being able to explore, discover, and play, Hobbes points out that he still has afternoons and weekends.  Calvin tells him that's when he watches TV."
"April 18, 1989","Calvin finally tells Hobbes he has the hiccups.  Calvin tells Hobbes to scare him.  Hobbes tells him the oceans are filled with garbage, there's a hole in the ozone that's frying the planet, and nuclear waste is piling up without any safe way to get rid of it.  Calvin tells Hobbes that he means surprise him.  Hobbes asks if that doesn't.  He says ""Boy, you're cynical""."
"April 18, 1990","Calvin is on the teeter-totter with Susie.  She asks why he didn't sign up to play baseball.  Calvin says he'd just rather run around.  He says he hates the rules and organization and teams and ranks in sports.  He says someone is always telling you where to be, what to do, and when to do it.  He figures when he wants that, he'll join the Army and at least get paid."
"April 18, 1991","At lunch, Calvin asks Susie if she wants to see a great idea in action.  He drinks half the milk in his Thermos. He wads the rest of his lunch inside the Thermos.  He puts in his jelly sandwich and his banana.  He lets it soak for a minute, then he shakes it into sludge.  He says the stomach doesn't know the difference, and it saves his teeth undue wear and tear. Susie is grossed out and leaves.  Calvin says nobody likes his great ideas in action."
"April 18, 1992","Calvin asks if the horoscope has a retraction.  Hobbes says no, there is just a new one for today.  He reads it to Calvin.  It mentions popularity rising and big dividends.  Calvin figures that's good.  Hobbes continues.  It mentions emphasizing romance.  The opposite sex finds him irresistible.  Calvin is horrified.  Hobbes suggests that he knows what the big dividends are."
"April 18, 1993","Going down the hill in the wagon, Calvin says some people are born lucky and some unlucky.  He says you can't fight luck.  Hobbes points out they're heading for the cliff.  Calvin says that's bad luck.  Hobbes jumps out.  Calvin says you go along, minding your own business, and your luck runs out.  As he bounces over the cliff, he says if you're unlucky, you're condemned to suffer.  From the top of the cliff, Hobbes says he landed in the pricker bushes, just like yesterday.  Calvin says maybe his luck will change tomorrow."
"April 18, 1995","Looking at the sky, Calvin tells Hobbes it's too blue.  It needs some red.  He points up to show Hobbes where it should have some red.  He runs off.  Later, Calvin is flying a kite.  He says that's better, and Hobbes agrees."
"April 19, 1986","As Calvin sits on a rock with his fishing line in the water, a fish crawls up on the rock and bites Calvin in the butt.  Hobbes comes by and asks if the fish are biting.  Calvin tells him to drop dead."
